"GEOCODIGO1","Quantidade_Paralizacao","GEOCODIGO","logData","MUNICIPIO","UF"
312245,0,3122454,1,"Divisópolis","MG"
312430,0,3124302,1,"Espinosa","MG"
312560,0,3125606,1,"Felisburgo","MG"
312650,18,3126505,4.16992500144231,"Francisco Badaró","MG"
312670,365,3126703,8.51175265376738,"Francisco Sá","MG"
312707,11,3127073,3.4594316186373,"Fruta de Leite","MG"
312733,NA,3127339,-1,"Gameleiras","MG"
312780,5,3127800,2.32192809488736,"Grão Mogol","MG"
312965,1,3129657,1,"Ibiracatu","MG"
313065,0,3130655,1,"Indaiabira","MG"
313210,0,3132107,1,"Itacarambi","MG"
313330,10,3133303,3.32192809488736,"Itaobim","MG"
313400,25,3134004,4.64385618977472,"Itinga","MG"
313470,32,3134707,5,"Jacinto","MG"
313505,4,3135050,2,"Jaíba","MG"
313510,6,3135100,2.58496250072116,"Janaúba","MG"
313520,1,3135209,1,"Januária","MG"
313535,1,3135357,1,"Japonvar","MG"
313545,8,3135456,3,"Jenipapo de Minas","MG"
313580,12,3135803,3.58496250072116,"Jequitinhonha","MG"
313600,218,3136009,7.76818432477693,"Joaíma","MG"
313650,0,3136504,1,"Jordânia","MG"
313652,3,3136520,1.58496250072116,"José Gonçalves de Minas","MG"
313657,4,3136579,2,"Josenópolis","MG"
313695,0,3136959,1,"Juvenília","MG"
313865,1,3138658,1,"Lontra","MG"
313925,NA,3139250,-1,"Mamonas","MG"
313930,2,3139300,1,"Manga","MG"
314055,0,3140555,1,"Mata Verde","MG"
314085,11,3140852,3.4594316186373,"Matias Cardoso","MG"
314100,51,3141009,5.6724253419715,"Mato Verde","MG"
314140,6,3141405,2.58496250072116,"Medina","MG"
314225,10,3142254,3.32192809488736,"Miravânia","MG"
314270,0,3142700,1,"Montalvânia","MG"
314290,0,3142908,1,"Monte Azul","MG"
314315,38,3143153,5.24792751344359,"Monte Formoso","MG"
314345,0,3143450,1,"Montezuma","MG"
314465,0,3144656,1,"Ninheira","MG"
314505,4,3145059,2,"Nova Porteirinha","MG"
314530,16,3145307,4,"Novo Cruzeiro","MG"
314537,15,3145372,3.90689059560852,"Novorizonte","MG"
314625,23,3146255,4.52356195605701,"Padre Carvalho","MG"
314630,12,3146305,3.58496250072116,"Padre Paraíso","MG"
314655,3,3146552,1.58496250072116,"Pai Pedro","MG"
314795,0,3147956,1,"Patis","MG"
314870,28,3148707,4.8073549220576,"Pedra Azul","MG"
314915,8,3149150,3,"Pedras de Maria da Cruz","MG"
315217,36,3152170,5.16992500144231,"Ponto dos Volantes","MG"
315220,44,3152204,5.4594316186373,"Porteirinha","MG"
315450,9,3154507,3.16992500144231,"Riacho dos Machados","MG"
315560,0,3155603,1,"Rio Pardo de Minas","MG"
315650,12,3156502,3.58496250072116,"Rubelita","MG"
315660,0,3156601,1,"Rubim","MG"
315700,13,3157005,3.70043971814109,"Salinas","MG"
315710,3,3157104,1.58496250072116,"Salto da Divisa","MG"
315737,15,3157377,3.90689059560852,"Santa Cruz de Salinas","MG"
315810,53,3158102,5.7279204545632,"Santa Maria do Salto","MG"
316045,0,3160454,1,"Santo Antônio do Retiro","MG"
316240,2,3162401,1,"São João da Ponte","MG"
316245,1,3162450,1,"São João das Missões","MG"
316270,0,3162708,1,"São João do Paraíso","MG"
316695,0,3166956,1,"Serranópolis de Minas","MG"
316800,5,3168002,2.32192809488736,"Taiobeiras","MG"
317065,0,3170651,1,"Vargem Grande do Rio Pardo","MG"
317090,0,3170909,1,"Varzelândia","MG"
317103,2,3171030,1,"Verdelândia","MG"
317160,5,3171600,2.32192809488736,"Virgem da Lapa","MG"
